,Hotel_name,Price_before_Discount,Price_after_Discount,Tax_and_Charges,Type_of_Room,Type_of_Beds,Rating,Review,No_of_Reviews,Rooms_left,Cancellation
135,Click Hotel Bangalore,"₹ 3,400","₹ 2,380",+₹ 286 taxes and charges,"Double Room - 10% off on Laundry, 10% off on F&B, Complimentary Drivers accommodation",1 double bed,8.7,Fabulous ,539 reviews,Only 3 rooms left at this price on our site,
136,SFO Hotel and Suites,,"₹ 4,800",+₹ 576 taxes and charges,Executive Double or Twin Room,1 large double bed,8.6,Fabulous ,47 reviews,Only 7 rooms left at this price on our site,Free cancellation
137,Treebo Trend Edge St Marks Road,"₹ 5,128","₹ 2,564",+₹ 308 taxes and charges,[Sanitized] Standard Double Room,1 single bed,6.9,Review score ,247 reviews,Only 2 rooms left at this price on our site,Free cancellation
138,MySpace Dhruva Inn,"₹ 3,600","₹ 2,592",+₹ 311 taxes and charges,Standard Double Room,1 double bed,8.2,Very good ,60 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
139,FabHotel Grand View,"₹ 3,854","₹ 2,081",+₹ 250 taxes and charges,Deluxe Room,1 large double bed,6.8,Review score ,39 reviews,,Free cancellation
140,"The Royale Senate, Hebbal, Bengaluru",,"₹ 3,600",+₹ 432 taxes and charges,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,7.8,Good ,40 reviews,,FREE cancellation • No prepayment needed
141,Radiant Resort,,"₹ 2,750",+₹ 330 taxes and charges,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,6.2,Review score ,147 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
142,Empire International Church Street,,"₹ 3,500",+₹ 420 taxes and charges,Standard Double Room,1 double bed,7.0,Good ,251 reviews,Only 2 rooms left at this price on our site,FREE cancellation • No prepayment needed
143,Renaissance Bengaluru Race Course Hotel,,"₹ 9,000","+₹ 1,620 taxes and charges","Deluxe, Guest room, 2 Twin/Single Bed(s) with Happy Hours at R Bar from 6 PM - 8 PM",2 single beds,8.6,Fabulous ,262 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
144,ibis Bengaluru City Centre - An Accor Brand,,"₹ 4,505",+₹ 541 taxes and charges,Standard Queen Room,1 large double bed,7.6,Good ,"1,430 reviews",,FREE cancellation • No prepayment needed
145,The Oterra,,"₹ 10,500","+₹ 2,510 taxes and charges",Superior King Room with 24 Hours Check-in & Check-out,1 extra-large double bed,8.4,Very good ,225 reviews,,FREE cancellation • No prepayment needed
146,Capital O 79546 Hotel Royal Galaxy,"₹ 2,745","₹ 1,372",+₹ 210 taxes and charges,Classic Triple Room,1 large double bed,5.2,Review score ,13 reviews,,FREE cancellation • No prepayment needed
147,Blu Petal - A Business Hotel,,"₹ 5,500",+₹ 660 taxes and charges,Standard Double or Twin Room,Multiple bed types,8.0,Very good ,79 reviews,Only 2 rooms left at this price on our site,FREE cancellation • No prepayment needed
148,The Signature Inn,,₹ 922,Includes taxes and charges,Budget Double Room,1 double bed,6.9,Review score ,322 reviews,,
149,The Continentti Whitefield,"₹ 3,999","₹ 3,199",+₹ 384 taxes and charges,Standard King Room,1 extra-large double bed,8.4,Very good ,72 reviews,Only 4 rooms left at this price on our site,FREE cancellation • No prepayment needed
150,BloomSuites I Electronics City,,"₹ 3,420",+₹ 410 taxes and charges,Deluxe Double Room,1 extra-large double bed,7.2,Good ,164 reviews,Only 3 rooms left at this price on our site,
151,Hotel Airport City,,"₹ 2,000",+₹ 240 taxes and charges,Double Room,1 large double bed,8.0,Very good ,195 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
152,OYO 80376 Santa Maria,"₹ 2,805","₹ 1,403",+₹ 168 taxes and charges,Classic Triple Room,2 extra-large double beds,5.8,Review score ,15 reviews,,Free cancellation
153,"Holiday Inn Express & Suites Bengaluru Old Madras Road, an IHG Hotel",,"₹ 4,889",+₹ 587 taxes and charges,Standard Queen with Free Buffet Breakfast & 10% Disc on F&B,2 single beds,8.3,Very good ,464 reviews,,Free cancellation
154,"Liwa - The Transit Hotel, Bengaluru",,"₹ 3,215",+₹ 386 taxes and charges,King Room,1 extra-large double bed,7.5,Good ,118 reviews,,FREE cancellation • No prepayment needed
155,The Urban Nest,,"₹ 2,400",+₹ 288 taxes and charges,Deluxe Room,1 large double bed,8.6,Fabulous ,32 reviews,Only 1 room left at this price on our site,Free cancellation
156,Hotel Royal Orchid Bangalore,"₹ 7,481","₹ 7,107",+₹ 853 taxes and charges,Deluxe Twin Room,2 single beds,7.2,Good ,766 reviews,,FREE cancellation • No prepayment needed
157,OYO BLR2467 Urban Inn,"₹ 3,732","₹ 1,866",+₹ 269 taxes and charges,Classic Triple Room,1 extra-large double bed,6.6,Review score ,57 reviews,,FREE cancellation • No prepayment needed
158,The Chancery Hotel,,"₹ 4,699",+₹ 564 taxes and charges,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,6.8,Review score ,201 reviews,,
159,Hotel Ganga Sagar,"₹ 1,979","₹ 1,187",+₹ 142 taxes and charges,Deluxe Double Room,1 double bed,6.7,Review score ,39 reviews,,FREE cancellation • No prepayment needed
160,Monarch Brigade Road,,"₹ 3,300",+₹ 396 taxes and charges,Standard Double or Twin Room,Multiple bed types,7.3,Good ,641 reviews,Only 7 rooms left at this price on our site,FREE cancellation • No prepayment needed
161,Radisson Blu Bengaluru Outer Ring Road,,"₹ 8,400","+₹ 1,512 taxes and charges",Superior Room,Beds: 1 double or 2 singles,7.9,Good ,713 reviews,,FREE cancellation • No prepayment needed
162,GRAND KALINGA HOTEL,,"₹ 2,069",+₹ 248 taxes and charges,Deluxe Double Room with Bath,1 double bed,5.9,Review score ,20 reviews,Only 6 rooms left at this price on our site,
163,Raj Residency,,"₹ 2,138",+₹ 256 taxes and charges,Standard Double Room,2 single beds,7.6,Good ,153 reviews,,FREE cancellation • No prepayment needed
164,Collection O 82501 Blue Waters Lounge,"₹ 2,832","₹ 1,416",+₹ 200 taxes and charges,Classic Triple Room,1 extra-large double bed,6.5,Review score ,11 reviews,,FREE cancellation • No prepayment needed
165,Castle BGR,,"₹ 4,139",+₹ 497 taxes and charges,Two-Bedroom Apartment,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 111m²3 beds (1 sofa bed, 2 large doubles)",10,Exceptional ,2 reviews,Only 4 left at this price on our site,FREE cancellation • No prepayment needed
166,"The Ritz - Carlton, Bangalore",,"₹ 13,750","+₹ 2,475 taxes and charges",Deluxe Room,1 extra-large double bed,9.3,Superb ,255 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
167,Olive Magrath - By Embassy Group,"₹ 3,701","₹ 2,591",+₹ 311 taxes and charges,Budget Double Room,1 large double bed,7.5,Good ,161 reviews,Only 2 rooms left at this price on our site,Free cancellation
168,Hotel Bangalore Gate,,"₹ 2,450",+₹ 294 taxes and charges,Executive Double or Twin Room,Beds: 1 double or 2 singles,8.0,Very good ,73 reviews,,Free cancellation
169,"Hotel Monarch By Rivido, Bannerghatta Main Road",,"₹ 2,500",+₹ 300 taxes and charges,Deluxe Queen Room,1 double bed,6.4,Review score ,77 reviews,Only 7 rooms left at this price on our site,FREE cancellation • No prepayment needed
170,Casa Cottage,"₹ 5,000","₹ 3,750",+₹ 450 taxes and charges,Deluxe Room,Beds: 1 double or 2 singles,8.3,Very good ,180 reviews,Only 1 room left at this price on our site,FREE cancellation • No prepayment needed
171,Hypons Hotel,,"₹ 2,250",+₹ 270 taxes and charges,Executive Room,1 double bed,8.9,Fabulous ,7 reviews,Only 6 rooms left at this price on our site,Free cancellation
172,Tranquil Serviced Apartments,,"₹ 1,650",+₹ 198 taxes and charges,One-Bedroom Apartment,"Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 37m²2 beds (1 double, 1 sofa bed)",8.2,Very good ,96 reviews,Only 2 left at this price on our site,
173,Capital O 67657 GN Suites,"₹ 2,145","₹ 1,072",+₹ 159 taxes and charges,Small Double Room,2 large double beds,4.5,Review score ,11 reviews,Only 1 room left at this price on our site,Free cancellation
174,Capital O 78555 Royal Keys,"₹ 3,732","₹ 1,866",+₹ 269 taxes and charges,Deluxe Double Room,1 extra-large double bed,6.5,Review score ,42 reviews,,FREE cancellation • No prepayment needed
175,Hotel Empire International Kormangala,,"₹ 4,400",+₹ 528 taxes and charges,Deluxe Double Room,1 extra-large double bed,6.7,Review score ,68 reviews,,FREE cancellation • No prepayment needed
176,Radha Regent Electronic City,,"₹ 6,500",+₹ 780 taxes and charges,Superior Double Room,1 double bed,6.8,Review score ,89 reviews,,Free cancellation
177,OYO 63230 Exotica Hotels,"₹ 2,750","₹ 1,787",+₹ 244 taxes and charges,Classic Triple Room,1 extra-large double bed,5.7,Review score ,14 reviews,,Free cancellation
178,Pai Viceroy,,"₹ 3,800",+₹ 456 taxes and charges,Superior Double Room,1 large double bed,7.8,Good ,60 reviews,Only 7 rooms left at this price on our site,FREE cancellation • No prepayment needed
179,hotel fortune suites,,"₹ 1,600",+₹ 192 taxes and charges,Standard Double Room,1 extra-large double bed,7.6,Good ,107 reviews,Only 1 room left at this price on our site,FREE cancellation • No prepayment needed
180,LUHO (Luxury Homes),,"₹ 4,050",+₹ 486 taxes and charges,Double Room,2 single beds,9.6,Exceptional ,69 reviews,Only 1 room left at this price on our site,FREE cancellation • No prepayment needed
181,FabHotel Emara Boutique - Fully Vaccinated Staff,"₹ 4,584","₹ 2,475",+₹ 297 taxes and charges,Deluxe Room,1 large double bed,6.5,Review score ,85 reviews,,Free cancellation
182,Treebo Trend Hotel Sahara Suites Madiwala,"₹ 5,309","₹ 2,655",+₹ 319 taxes and charges,[Sanitized] Standard Double Room,1 extra-large double bed,8.0,Very good ,102 reviews,,Free cancellation
183,Octave Royal Opera,,"₹ 1,700",+₹ 204 taxes and charges,Deluxe Double Room,1 large double bed,8.3,Very good ,431 reviews,,FREE cancellation • No prepayment needed
184,FabHotel The BTM Palace,"₹ 3,334","₹ 1,800",+₹ 216 taxes and charges,Deluxe Room,1 large double bed,7.7,Good ,67 reviews,,Free cancellation
185,Treebo Trend Kings Suits HSR Layout,"₹ 5,598","₹ 2,799",+₹ 336 taxes and charges,Standard Double Room,1 large double bed,7.0,Good ,71 reviews,Only 6 rooms left at this price on our site,Free cancellation
186,Octave Brookefield Suites,,"₹ 2,300",+₹ 276 taxes and charges,Deluxe Double Room,1 large double bed,7.9,Good ,158 reviews,,FREE cancellation • No prepayment needed
187,The Chancery Pavilion,,"₹ 7,001",+₹ 840 taxes and charges,Superior Room,2 single beds,6.5,Review score ,438 reviews,,FREE cancellation • No prepayment needed
188,FabExpress Oriental Suites BTM Layout,"₹ 3,438","₹ 1,857",+₹ 223 taxes and charges,[Sanitised]Deluxe Room,1 large double bed,7.6,Good ,202 reviews,,Free cancellation
189,Hotel Sea pearl,,"₹ 1,700",+₹ 204 taxes and charges,Deluxe Family Suite,1 double bed,7.3,Good ,39 reviews,Only 4 rooms left at this price on our site,FREE cancellation • No prepayment needed
190,De Mandarin,,"₹ 2,880",+₹ 346 taxes and charges,Comfy Room,1 large double bed,7.4,Good ,72 reviews,Only 1 room left at this price on our site,FREE cancellation • No prepayment needed
191,FabHotel Purple Orchid,"₹ 4,650","₹ 2,511",+₹ 301 taxes and charges,Deluxe Room,1 double bed,7.1,Good ,29 reviews,,Free cancellation
192,Hotel Foxglove International,"₹ 2,999","₹ 2,699",+₹ 324 taxes and charges,Superior Double Room,Beds: 1 double or 2 singles,6.5,Review score ,33 reviews,Only 4 rooms left at this price on our site,Free cancellation
193,Sheetal Residency,,"₹ 1,300",+₹ 156 taxes and charges,Standard Double Room with Fan,1 double bed,8.0,Very good ,107 reviews,,FREE cancellation • No prepayment needed
194,Treebo Trend Astor Hotel HSR Layout,"₹ 5,536","₹ 2,768",+₹ 332 taxes and charges,Standard Double Room,1 double bed,6.6,Review score ,60 reviews,,Free cancellation
195,Upar Hotels Indiranagar,,"₹ 2,900",+₹ 348 taxes and charges,Deluxe Double Room (2 Adults + 1 Child),1 large double bed,6.3,Review score ,18 reviews,,
196,Octave Crystal Heights,,"₹ 2,300",+₹ 276 taxes and charges,Deluxe Double Room,1 large double bed,7.2,Good ,63 reviews,,FREE cancellation • No prepayment needed
197,Justa Indiranagar,,"₹ 4,047",+₹ 486 taxes and charges,Superior Double Room,1 extra-large double bed,7.8,Good ,40 reviews,Only 2 rooms left at this price on our site,Free cancellation
198,FabHotel Sri Krishna Suites Bellandur - Fully Vaccinated Staff,"₹ 4,793","₹ 2,588",+₹ 311 taxes and charges,Deluxe Double Room,1 double bed,6.0,Review score ,32 reviews,,Free cancellation
199,OYO 80458 Blooms Inn,"₹ 1,816","₹ 1,181",+₹ 172 taxes and charges,Classic Triple Room,1 large double bed,6.4,Review score ,15 reviews,,FREE cancellation • No prepayment needed
200,Octave Crystal Heights,,"₹ 2,300",+₹ 276 taxes and charges,Deluxe Double Room,1 large double bed,7.2,Good ,63 reviews,,FREE cancellation • No prepayment needed
201,Justa Indiranagar,,"₹ 4,047",+₹ 486 taxes and charges,Superior Double Room,1 extra-large double bed,7.8,Good ,40 reviews,Only 2 rooms left at this price on our site,Free cancellation
202,FabHotel Sri Krishna Suites Bellandur - Fully Vaccinated Staff,"₹ 4,793","₹ 2,588",+₹ 311 taxes and charges,Deluxe Double Room,1 double bed,6.0,Review score ,32 reviews,,Free cancellation
203,Oakwood Residence Prestige Whitefield Bangalore,,"₹ 8,200","+₹ 1,476 taxes and charges",Studio Superior,Private studio • 1 bathroom • 1 kitchen • 45m²1 large double bed,8.4,Very good ,76 reviews,Only 4 left at this price on our site,FREE cancellation • No prepayment needed
204,OYO 80458 Blooms Inn,"₹ 1,816","₹ 1,181",+₹ 172 taxes and charges,Classic Triple Room,1 large double bed,6.4,Review score ,15 reviews,,FREE cancellation • No prepayment needed
205,OYO 14203 Chetana Inn,"₹ 2,963","₹ 1,481",+₹ 223 taxes and charges,Small Double Room,1 large double bed,6.6,Review score ,21 reviews,,Free cancellation
206,Treebo Trend Kozy Rooms HSR Layout,"₹ 4,994","₹ 2,497",+₹ 300 taxes and charges,Standard Double Room,1 large double bed,6.8,Review score ,52 reviews,Only 3 rooms left at this price on our site,Free cancellation
207,FabHotel Emara Grand,"₹ 4,584","₹ 2,475",+₹ 297 taxes and charges,Deluxe Room,1 double bed,6.5,Review score ,2 reviews,,Free cancellation
208,Treebo Trend Raj Premier Indiranagar,"₹ 6,608","₹ 3,304",+₹ 396 taxes and charges,[Sanitized] Standard Double or Twin Room,Beds: 1 double or 2 singles,7.6,Good ,91 reviews,Only 5 rooms left at this price on our site,Free cancellation
209,Jagadish Hotels Sankey Road,"₹ 5,610","₹ 4,432",+₹ 532 taxes and charges,Deluxe Room,1 extra-large double bed,7.5,Good ,16 reviews,,Free cancellation
210,JP Cordial Hotel,,"₹ 3,500",+₹ 512 taxes and charges,Deluxe Double or Twin Room,1 extra-large double bed,6.7,Review score ,30 reviews,,FREE cancellation • No prepayment needed
211,Treebo Trend Hotel Golden Grand Inn,"₹ 2,704","₹ 1,352",+₹ 162 taxes and charges,Standard Double Room,1 extra-large double bed,6.7,Review score ,17 reviews,,Free cancellation
212,Tulip Inn Koramangala,,"₹ 3,750",+₹ 450 taxes and charges,Deluxe Double Room,1 large double bed,7.3,Good ,40 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
213,SPOT ON 75492 The Royal Comfort,"₹ 1,651","₹ 1,073",+₹ 45 taxes and charges,Triple Room with Bathroom,1 large double bed,7.1,Good ,16 reviews,,Free cancellation
214,HOTEL ROYAL SUITES,,"₹ 1,649",+₹ 198 taxes and charges,Budget Double Room,1 large double bed,7.7,Good ,20 reviews,Only 4 rooms left at this price on our site,FREE cancellation • No prepayment needed
215,Hotel City Centaur and Convention Center- Vaccinated Staff,,"₹ 2,070",+₹ 248 taxes and charges,Standard Double Room with Fan,1 large double bed,6.5,Review score ,223 reviews,,FREE cancellation • No prepayment needed
216,Hotel 8th Mile Suites,,"₹ 4,000",+₹ 480 taxes and charges,Executive Suite,Private suite1 extra-large double bed,9.0,Superb ,1 review,Only 4 left at this price on our site,Free cancellation
217,Orchid Suites - A Boutique Hotel Bangalore Off Residency Road,,"₹ 2,300",+₹ 276 taxes and charges,Deluxe Queen Room,1 large double bed,6.8,Review score ,17 reviews,,FREE cancellation • No prepayment needed
218,4 SEASONS SUITES JP Nagar,,"₹ 2,290",+₹ 275 taxes and charges,Deluxe King Room,1 extra-large double bed,6.9,Review score ,65 reviews,Only 3 rooms left at this price on our site,FREE cancellation • No prepayment needed
219,Treebo Trend Hotel Suraksha Inn Indiranagar,"₹ 5,490","₹ 2,745",+₹ 359 taxes and charges,Standard Double Room,1 large double bed,6.5,Review score ,37 reviews,,Free cancellation
220,Ginger Bangalore- Whitefield,,"₹ 4,499",+₹ 540 taxes and charges,Luxe Room,1 large double bed,6.3,Review score ,40 reviews,,FREE cancellation • No prepayment needed
221,OYO Townhouse 364 Richmond Road,"₹ 4,773","₹ 2,387",+₹ 316 taxes and charges,Standard Double Room,1 large double bed,6.8,Review score ,79 reviews,,Free cancellation
222,The Rialto Hotel,,"₹ 2,800",+₹ 336 taxes and charges,Superior Double or Twin Room,Beds: 1 double or 2 singles,6.6,Review score ,40 reviews,,FREE cancellation • No prepayment needed
223,FabHotel Hiland Suites,"₹ 3,333","₹ 1,800",+₹ 246 taxes and charges,Deluxe Room,1 large double bed,7.6,Good ,45 reviews,,Free cancellation
224,Treebo Trend The Sai Leela Suites R T Nagar,"₹ 5,800","₹ 2,900",+₹ 348 taxes and charges,Standard Double Room,1 extra-large double bed,7.7,Good ,70 reviews,Only 6 rooms left at this price on our site,Free cancellation
225,FabHotel The Leela Park,"₹ 5,416","₹ 2,925",+₹ 351 taxes and charges,Deluxe Room,1 large double bed,7.4,Good ,24 reviews,,Free cancellation
226,"Lilac Hotel, 5th Block","₹ 5,249","₹ 4,199",+₹ 504 taxes and charges,Premier Room - Twin Bed,2 single beds,8.5,Very good ,39 reviews,Only 5 rooms left at this price on our site,Free cancellation
227,Stay@,,"₹ 2,250",+₹ 270 taxes and charges,Single Deluxe Room,Entire apartment • 1 bedroom • 1 bathroom • 23m²1 large double bed,8.7,Fabulous ,86 reviews,Only 1 left at this price on our site,Free cancellation
228,FabExpress Ivory Pearl III,"₹ 2,291","₹ 1,237",+₹ 178 taxes and charges,Deluxe Room,1 large double bed,6.3,Review score ,33 reviews,,Free cancellation
229,OYO 78474 Usuru Comforts,"₹ 1,884",₹ 942,+₹ 30 taxes and charges,Classic Triple Room,1 large double bed,3.6,Review score ,8 reviews,,FREE cancellation • No prepayment needed
230,FabHotel Frazer Suites Pulikeshi Nagar,"₹ 3,541","₹ 1,912",+₹ 229 taxes and charges,Deluxe Room,1 double bed,7.4,Good ,68 reviews,,Free cancellation
231,FabHotel Vista Suites Bangalore East Railway Station,"₹ 4,583","₹ 2,475",+₹ 297 taxes and charges,(Sanitised) Deluxe Room,1 double bed,8.4,Very good ,53 reviews,,Free cancellation
232,Spot On 23032 New Hotel Mayur Paradise,"₹ 2,145","₹ 1,072",+₹ 174 taxes and charges,Executive Triple Room,,4.8,Review score ,8 reviews,,Free cancellation
233,Capital O 37517 Withinn Hotel,"₹ 3,754","₹ 1,877",+₹ 270 taxes and charges,Standard Double Room,1 large double bed,7.6,Good ,23 reviews,,
234,Hotel surya dev residency,,"₹ 2,450",+₹ 294 taxes and charges,Superior Deluxe Double or Twin Room ,2 extra-large double beds,7.8,Good ,64 reviews,,
235,Capital O 62579 Royal Wood Premier,"₹ 3,464","₹ 1,732",+₹ 208 taxes and charges,Classic Triple Room,1 large double bed,6.8,Review score ,10 reviews,,Free cancellation
236,OYO 81833 Hotel Red Rose,"₹ 3,021","₹ 1,964",+₹ 266 taxes and charges,Classic Triple Room,2 extra-large double beds,6.2,Review score ,54 reviews,,FREE cancellation • No prepayment needed
237,"Svenska Design Hotel, Electronic City, Bangalore",,"₹ 3,199",+₹ 761 taxes and charges,Superior Double Room,1 double bed,5.7,Review score ,161 reviews,,FREE cancellation • No prepayment needed
238,Treebo Trend Hotel Sampradaya Bistro Mailasandra,"₹ 5,009","₹ 2,505",+₹ 301 taxes and charges,[Sanitized] Deluxe Double Room,1 large double bed,7.9,Good ,103 reviews,Only 1 room left at this price on our site,Free cancellation
239,The Waverly Hotel & Residences,,"₹ 7,500",+₹ 900 taxes and charges,The Waverly Room,1 extra-large double bed,6.6,Review score ,82 reviews,,FREE cancellation • No prepayment needed
240,FabHotel S Comfort Inn,"₹ 5,208","₹ 2,812",+₹ 337 taxes and charges,Superior Double Room,1 large double bed,7.3,Good ,27 reviews,,Free cancellation
241,OYO 10475 PMR Hotel,"₹ 2,955","₹ 1,478",+₹ 207 taxes and charges,Classic Triple Room,1 extra-large double bed,5.5,Review score ,86 reviews,,Free cancellation
242,Nash Inn,,₹ 899,Includes taxes and charges,Double Room,2 single beds,5.1,Review score ,42 reviews,Only 5 rooms left at this price on our site,
243,Casa Oro,,"₹ 2,139",+₹ 257 taxes and charges,Deluxe Double Room,1 large double bed,8.2,Very good ,42 reviews,,
244,The Park Bangalore,"₹ 8,500","₹ 6,800",+₹ 816 taxes and charges,Deluxe Double Room,1 large double bed,7.9,Good ,958 reviews,,
245,OYO Flagship 67007 Manyu Inn,"₹ 3,405","₹ 1,703",+₹ 249 taxes and charges,Classic Triple Room,1 large double bed,7.4,Good ,33 reviews,,Free cancellation
246,FabHotel Shreyas Inn,"₹ 4,948","₹ 2,672",+₹ 321 taxes and charges,Superior Double Room,1 large double bed,5.4,Review score ,35 reviews,,Free cancellation
247,Hotel Coffee Bean,,"₹ 5,130",+₹ 616 taxes and charges,[Sanitised]Superior Double Room,1 double bed,8.4,Very good ,7 reviews,,FREE cancellation • No prepayment needed
248,Halcyon Residences,"₹ 4,699","₹ 4,229",+₹ 507 taxes and charges,Executive Room (Common Living Room) with Kitchen,Entire studio • 1 bathroom • 1 kitchen • 51m²Beds: 1 double or 2 singles,7.0,Good ,236 reviews,,Free cancellation
249,SS CROWN inn,,"₹ 1,440",+₹ 173 taxes and charges,Deluxe Double Room,1 extra-large double bed,7.9,Good ,69 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
250,Sanctum Suites BEL Road Bangalore,,"₹ 2,900",+₹ 348 taxes and charges,Standard King Room,1 extra-large double bed,7.3,Good ,70 reviews,Only 6 rooms left at this price on our site,FREE cancellation • No prepayment needed
251,"Country Inn & Suites By Radisson, Bengaluru Hebbal Road",,"₹ 6,000",+₹ 720 taxes and charges,Day Use Room  (Check in at 12 PM and Check out at 5 PM on the SAME Day),1 double bed,6.6,Review score ,346 reviews,Only 5 rooms left at this price on our site,Free cancellation
252,Hotel RR International,,"₹ 1,800",+₹ 216 taxes and charges,Deluxe Double Room (Non-A/C),Beds: 1 double or 2 singles,6.8,Review score ,374 reviews,,Free cancellation
253,White Mist by Happy Retreats,,"₹ 5,950",+₹ 714 taxes and charges,Triple Room,"2 beds (1 single, 1 double)",8.5,Very good ,4 reviews,,
254,"OYO TOWNHOUSE 014, MG Road","₹ 6,511","₹ 3,255",+₹ 421 taxes and charges,Classic Triple Room,1 large double bed,5.2,Review score ,27 reviews,,FREE cancellation • No prepayment needed
255,The Leela Bhartiya City Bengaluru,,"₹ 12,350","+₹ 2,223 taxes and charges",Deluxe Room overlooking the Pool/City & Complimentary meals for children below 12 yrs at Quattro on the room package booked,1 extra-large double bed,9.0,Superb ,115 reviews,,FREE cancellation • No prepayment needed
256,OYO Townhouse 82047 SRK Live Inn Castle,"₹ 3,307","₹ 1,654",+₹ 228 taxes and charges,Standard Double Room,1 extra-large double bed,2.5,Review score ,2 reviews,,FREE cancellation • No prepayment needed
257,Treebo Trip Shivas Kuteera HSR Layout,"₹ 4,529","₹ 2,265",+₹ 272 taxes and charges,[Sanitized] Standard Double or Twin Room,Beds: 1 double or 2 singles,8.1,Very good ,74 reviews,Only 3 rooms left at this price on our site,Free cancellation
258,FabHotel Phoenix Resorts,"₹ 3,750","₹ 2,025",+₹ 243 taxes and charges,Deluxe Room,1 large double bed,5.9,Review score ,37 reviews,,Free cancellation
259,Jagadish Hotel Jayanagar,"₹ 3,330","₹ 2,631",+₹ 316 taxes and charges,Deluxe ,1 double bed,4.7,Review score ,3 reviews,,FREE cancellation • No prepayment needed
260,The Hood 1BHK's and 2BHK's (HSR Layout Sector 1),,"₹ 2,099",+₹ 252 taxes and charges,One-Bedroom Apartment,"Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 51m²2 beds (1 sofa bed, 1 large double)",8.0,Very good ,1 review,Only 1 left at this price on our site,FREE cancellation • No prepayment needed
261,FabHotel Crown Suites,"₹ 3,648","₹ 1,970",+₹ 236 taxes and charges,Deluxe Room,1 large double bed,8.0,Very good ,154 reviews,,Free cancellation
262,FLORA SUITES,,"₹ 2,879",+₹ 345 taxes and charges,Family Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 13m²2 beds (1 sofa bed, 1 large double)",8.1,Very good ,33 reviews,Only 3 left at this price on our site,
263,Taj Yeshwantpur Bengaluru,,"₹ 10,000","+₹ 1,800 taxes and charges",Superior Double Room with City View,1 large double bed,8.6,Fabulous ,683 reviews,,Free cancellation
264,Tristar Service Apartments,,"₹ 3,250",+₹ 390 taxes and charges,Studio Apartment,Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 36m²1 large double bed,8.0,Very good ,113 reviews,Only 4 left at this price on our site,Free cancellation
265,Oasis Executive Suites,,"₹ 1,904",+₹ 228 taxes and charges,Deluxe Double or Twin Room,1 double bed,8.5,Very good ,55 reviews,Only 6 rooms left at this price on our site,FREE cancellation • No prepayment needed
266,Hotel Apple Suites,"₹ 1,600","₹ 1,280",+₹ 154 taxes and charges,Deluxe Double Room (2 Adults + 1 Child),1 double bed,7.6,Good ,217 reviews,Only 2 rooms left at this price on our site,FREE cancellation • No prepayment needed
267,Shoba Tulip Hebbal,"₹ 1,699","₹ 1,529",+₹ 183 taxes and charges,Executive Room Non AC,1 double bed,6.8,Review score ,33 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
268,bloomrooms @ City Centre,,"₹ 3,400",+₹ 408 taxes and charges,Standard Double Room,1 large double bed,8.4,Very good ,325 reviews,,FREE cancellation • No prepayment needed
269,The Green Path Eco Hotel,"₹ 3,250","₹ 2,925",+₹ 351 taxes and charges,Standard Double Room,1 large double bed,4.4,Review score ,5 reviews,,FREE cancellation • No prepayment needed
270,Treebo Trend Hotel Raj Elegance Nagavara,"₹ 4,509","₹ 2,255",+₹ 271 taxes and charges,[Sanitized] Double Room,1 extra-large double bed,8.4,Very good ,161 reviews,Only 3 rooms left at this price on our site,Free cancellation
271,Treebo Trip Hotel Worldtree Bellandur,"₹ 5,944","₹ 2,972",+₹ 357 taxes and charges,[Sanitized] Standard Double or Twin Room,Beds: 1 double or 2 singles,6.9,Review score ,118 reviews,,Free cancellation
272,OYO 15711 Athiti Residency,"₹ 2,248","₹ 1,124",+₹ 180 taxes and charges,Deluxe Triple Room,1 large double bed,4.9,Review score ,38 reviews,Only 3 rooms left at this price on our site,Free cancellation
273,OYO Townhouse 76427 Hotel Skyline,"₹ 2,948","₹ 1,474",+₹ 237 taxes and charges,Deluxe Double Room,1 extra-large double bed,,,,,Free cancellation
274,Nandu Hospitality - Golden Reevera,,"₹ 1,450",+₹ 174 taxes and charges,Studio Apartment,"Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 70m²2 beds (1 double, 1 sofa bed)",6.1,Review score ,16 reviews,Only 2 left at this price on our site,FREE cancellation • No prepayment needed
